828e1b,127.0.0.1,GET,http://chat.local/,1458634960,8ba6e6,200
8ba6e6,127.0.0.1,GET,http://chat.local/,1458634960,,500
64608d,127.0.0.1,GET,http://chat.local/bundles/framework/css/body.css,1458634961,b04862,200
8bab3f,127.0.0.1,GET,http://chat.local/bundles/framework/css/structure.css,1458634961,da25db,200
b04862,127.0.0.1,GET,http://chat.local/bundles/framework/css/body.css,1458634961,,404
da25db,127.0.0.1,GET,http://chat.local/bundles/framework/css/structure.css,1458634961,,404
997a3a,127.0.0.1,GET,http://chat.local/bundles/framework/css/exception.css,1458634961,2e9d38,200
2e9d38,127.0.0.1,GET,http://chat.local/bundles/framework/css/exception.css,1458634961,,404
717c2a,127.0.0.1,GET,http://chat.local/,1458634971,,200
d0d825,127.0.0.1,GET,http://chat.local/,1458635128,,200
f9e130,127.0.0.1,GET,http://chat.local/,1458635155,,200
5e2da2,127.0.0.1,GET,http://chat.local/,1458635192,0e9143,200
0e9143,127.0.0.1,GET,http://chat.local/,1458635192,,500
